name,lineage,bootstrap,ambiguity,representative
Australia/NSW12/2020|EPI_ISL_413598||Australia|NSW|Sydney|2020-03-04,B.4,69,0,
Australia/NSW13/2020|EPI_ISL_413599||Australia|NSW|Sydney|2020-03-04,B.4,78,0,
Australia/NSW14/2020|EPI_ISL_413600||Australia|NSW|Sydney|2020-03-03,B.4,97/96,0,
Australia/NSW15/2020|EPI_ISL_417383||Australia|New_South_Wales|Sydney|2020-03-03,B.4,74,0,1
Australia/NSW18/2020|EPI_ISL_417384||Australia|New_South_Wales|Sydney|2020-03-05,B.4,94,0,
Australia/NSW19/2020|EPI_ISL_417385||Australia|New_South_Wales|Sydney|2020-03-06,B.4,92,0,
Australia/NSW21/2020|EPI_ISL_417386||Australia|New_South_Wales|Sydney|2020-03-04,B.4,75,0,
Australia/NSW24/2020|EPI_ISL_417387||Australia|New_South_Wales|Sydney|2020-03-06,B.4,80,0,
Australia/NSW25/2020|EPI_ISL_417388||Australia|New_South_Wales|Sydney|2020-03-05,B.6,100/67,0,
Australia/NSW26/2020|EPI_ISL_417389||Australia|New_South_Wales|Sydney|2020-03-09,B.4,16/69,0,
Australia/NSW27/2020|EPI_ISL_417390||Australia|New_South_Wales|Sydney|2020-03-08,B.1,94,0,
Australia/NSW28/2020|EPI_ISL_417391||Australia|New_South_Wales|Sydney|2020-03-08,B.4,69,0,
Australia/NSW31/2020|EPI_ISL_417392||Australia|New_South_Wales|Sydney|2020-03-10,B.4,76,0,
Australia/NSW35/2020|EPI_ISL_417393||Australia|New_South_Wales|Sydney|2020-03-08,B.4,16/66,0,
Australia/NSW36/2020|EPI_ISL_417394||Australia|New_South_Wales|Sydney|2020-03-10,B.2.1,99/87,0,
Australia/NSW37/2020|EPI_ISL_417395||Australia|New_South_Wales|Sydney|2020-03-10,A.1,100/100,0,
Australia/NSW38/2020|EPI_ISL_417396||Australia|New_South_Wales|Sydney|2020-03-10,B.6,29/70,0,
Australia/NSW39/2020|EPI_ISL_417397||Australia|New_South_Wales|Sydney|2020-03-11,B.1,99/100,0,
Australia/NSW40/2020|EPI_ISL_417398||Australia|New_South_Wales|Sydney|2020-03-11,B.4,74,0,
Australia/NSW41/2020|EPI_ISL_417399||Australia|New_South_Wales|Sydney|2020-03-10,B.2.1,99/79,0,
Australia/NSW44/2020|EPI_ISL_417400||Australia|New_South_Wales|Sydney|2020-03-10,B.6,100/100,0,
Australia/NSW45/2020|EPI_ISL_417401||Australia|New_South_Wales|Sydney|2020-03-13,B.6,100/98,0,
Australia/NSW47/2020|EPI_ISL_417402||Australia|New_South_Wales|Sydney|2020-03-13,B.1.5,99/100,0,
Australia/NSW48/2020|EPI_ISL_417403||Australia|New_South_Wales|Sydney|2020-03-14,B.6,23/99,0,1
Australia/NSW50/2020|EPI_ISL_417404||Australia|New_South_Wales|Sydney|2020-03-12,B.1,98/98,0,
Australia/NSW52/2020|EPI_ISL_417405||Australia|New_South_Wales|Sydney|2020-03-11,B.2,98/80,0,
Australia/NSW53/2020|EPI_ISL_417406||Australia|New_South_Wales|Sydney|2020-03-11,B.4,95,0,
Australia/NSW54/2020|EPI_ISL_417407||Australia|New_South_Wales|Sydney|2020-03-14,B.1,98/100,0,1
Australia/NSW56/2020|EPI_ISL_417408||Australia|New_South_Wales|Sydney|2020-03-17,B.2.2,80,0,1
Australia/NSW57/2020|EPI_ISL_417409||Australia|New_South_Wales|Sydney|2020-03-16,B.2.1,99/88,0,
Australia/NSW58/2020|EPI_ISL_417410||Australia|New_South_Wales|Sydney|2020-03-16,B.2.1,99/95,0,
Australia/NSW61/2020|EPI_ISL_417411||Australia|New_South_Wales|Sydney|2020-03-17,B.1,97/79,0,
Australia/NSW62/2020|EPI_ISL_417412||Australia|New_South_Wales|Sydney|2020-03-17,B.3,99/65,0,
Australia/NT01/2020|EPI_ISL_419831||Australia|Northern_Territory||2020-02-21,B,30/92,0,
Australia/NT02/2020|EPI_ISL_419832||Australia|Northern_Territory||2020-02-21,B,99/89,0,
Australia/NT04/2020|EPI_ISL_419833||Australia|Northern_Territory||2020-02-22,B,30/87,1,
Australia/NT05/2020|EPI_ISL_419835||Australia|Northern_Territory||2020-02-24,B.5,79/81,0,
Australia/QLD01/2020|EPI_ISL_407894||Australia|Queensland|Gold_Coast|2020-01-28,A,None,0,
Australia/QLD02/2020|EPI_ISL_407896||Australia|Queensland|Gold_Coast|2020-01-30,A,None,0,
Australia/QLD03/2020|EPI_ISL_410717||Australia|Queensland|Gold_Coast|2020-02-05,A,None,0,
Australia/QLD04/2020|EPI_ISL_410718||Australia|Queensland|Gold_Coast|2020-02-05,A,None,0,
Australia/QLD09/2020|EPI_ISL_414414||Australia|Queensland|Gold_Coast|2020-02-29,B.4,72,0,
Australia/QLDID919/2020|EPI_ISL_417031||Australia|Queensland|Gold_Coast|2020-03-11,A.1,100/100,0,1
Australia/QLDID920/2020|EPI_ISL_417032||Australia|Queensland|Rockhampton|2020-03-11,B.1,22/100,0,1
Australia/QLDID921/2020|EPI_ISL_417033||Australia|Queensland|Brisbane|2020-03-11,B.6,99,0,
Australia/QLDID922/2020|EPI_ISL_418799||Australia|Queensland|Brisbane|2020-02-28,B,90/98,0,
Australia/QLDID923/2020|EPI_ISL_418801||Australia|Queensland|Brisbane|2020-03-14,B.1,99,0,
Australia/QLDID924/2020|EPI_ISL_418802||Australia|Queensland|Gold_Coast|2020-03-18,B.1,74,0,
Australia/QLDID925/2020|EPI_ISL_418803||Australia|Queensland|Sunshine_Coast|2020-03-18,B.1,26/92,0,
Australia/QLDID926/2020|EPI_ISL_418804||Australia|Queensland|Sunshine_Coast|2020-03-18,B.1,98/97,0,
Australia/QLDID927/2020|EPI_ISL_418807||Australia|Queensland|Brisbane|2020-03-19,B.1,26/85,0,
Australia/QLDID928/2020|EPI_ISL_418808||Australia|Queensland|Brisbane|2020-03-19,B,98,0.01,
Australia/QLDID929/2020|EPI_ISL_420878||Australia|Queensland|Brisbane|2020-03-24,B.2.1,37/78,0,1
Australia/QLDID931/2020|EPI_ISL_420879||Australia|Queensland|Brisbane|2020-03-25,A.1,100/95,0,
Australia/VIC-CBA1/2020|EPI_ISL_420855||Australia|Victoria||2020-03-23,B.1,98/94,0.16,
Australia/VIC-CBA2/2020|EPI_ISL_420876||Australia|Victoria||2020-03-24,B.1.13,72,0,1
Australia/VIC-CBA3/2020|EPI_ISL_420877||Australia|Victoria||2020-03-28,B.1,98/98,0,
Australia/VIC01/2020|EPI_ISL_406844||Australia|Victoria|Clayton|2020-01-25,B,90/100,0,
Australia/VIC02/2020|EPI_ISL_416410||Australia|Victoria|Melbourne|2020-01-24,B,90/100,0.92,
Australia/VIC03/2020|EPI_ISL_416411||Australia|Victoria|Melbourne|2020-01-25,B,100,0,
Australia/VIC04/2020|EPI_ISL_416412||Australia|Victoria|Melbourne|2020-03-02,B.4,73,0,
Australia/VIC05/2020|EPI_ISL_416413||Australia|Victoria|Melbourne|2020-03-05,A.1,100/100,0.18,
Australia/VIC06/2020|EPI_ISL_416414||Australia|Victoria|Melbourne|2020-03-06,B.4,52/95,1.73,
Australia/VIC07/2020|EPI_ISL_416415||Australia|Victoria|Melbourne|2020-02-08,A,None,0,
Australia/VIC08/2020|EPI_ISL_416514||Australia|Victoria|Melbourne|2020-03-15,A.1,91,0.01,
Australia/VIC09/2020|EPI_ISL_416515||Australia|Victoria|Melbourne|2020-03-15,B.2,98/87,0.85,
Australia/VIC10/2020|EPI_ISL_416516||Australia|Victoria|Melbourne|2020-03-16,B.2,99/85,0.75,
Australia/VIC100/2020|EPI_ISL_419812||Australia|Victoria||2020-03-16,A.3,100/100,0,
Australia/VIC101/2020|EPI_ISL_419813||Australia|Victoria||2020-03-16,B.3,68,0.84,
Australia/VIC102/2020|EPI_ISL_419817||Australia|Victoria||2020-03-16,B,90/99,0.36,
Australia/VIC103/2020|EPI_ISL_419814||Australia|Victoria||2020-03-17,A.3,99/100,0,
Australia/VIC104/2020|EPI_ISL_419818||Australia|Victoria||2020-03-17,B.1,26/87,0.03,
Australia/VIC105/2020|EPI_ISL_419819||Australia|Victoria||2020-03-17,B.1,82,0,
Australia/VIC106/2020|EPI_ISL_419820||Australia|Victoria||2020-03-17,B.1.5,99/100,0,
Australia/VIC107/2020|EPI_ISL_419720||Australia|Victoria||2020-03-17,B.1,99/88,0.86,
Australia/VIC108/2020|EPI_ISL_419714||Australia|Victoria||2020-03-18,A.3,100/99,0,
Australia/VIC109/2020|EPI_ISL_419718||Australia|Victoria||2020-03-18,B.1,98/97,0,
Australia/VIC11/2020|EPI_ISL_416517||Australia|Victoria|Melbourne|2020-03-16,B.1.13,97/72,1.64,
Australia/VIC110/2020|EPI_ISL_419716||Australia|Victoria||2020-03-18,A.1,100/100,0,
Australia/VIC111/2020|EPI_ISL_419715||Australia|Victoria||2020-03-18,A.1,100/100,0,
Australia/VIC112/2020|EPI_ISL_419821||Australia|Victoria||2020-03-18,A.3,100/100,0,
Australia/VIC113/2020|EPI_ISL_419822||Australia|Victoria||2020-03-18,B.1,97/90,0,
Australia/VIC114/2020|EPI_ISL_419725||Australia|Victoria||2020-03-18,B.1.5,99/100,0,
Australia/VIC115/2020|EPI_ISL_419717||Australia|Victoria||2020-03-19,A.1,100/100,0,
Australia/VIC116/2020|EPI_ISL_419721||Australia|Victoria||2020-03-19,B.2.1,99/90,0.88,
Australia/VIC117/2020|EPI_ISL_419727||Australia|Victoria||2020-03-19,A.3,99,0,
Australia/VIC118/2020|EPI_ISL_419719||Australia|Victoria||2020-03-20,A.1,100/100,0.77,
Australia/VIC119/2020|EPI_ISL_419726||Australia|Victoria||2020-03-19,B.1,99/100,0.79,
Australia/VIC120/2020|EPI_ISL_419722||Australia|Victoria||2020-03-19,B.2.2,83,0.28,
Australia/VIC121/2020|EPI_ISL_419723||Australia|Victoria||2020-03-18,B.2.2,63/85,0.53,
Australia/VIC122/2020|EPI_ISL_419724||Australia|Victoria||2020-03-20,B.1,26/92,1.63,
Australia/VIC123/2020|EPI_ISL_419731||Australia|Victoria||2020-03-20,B.1,74,0,
Australia/VIC126/2020|EPI_ISL_419728||Australia|Victoria||2020-03-20,A.2,100/94,0,
Australia/VIC127/2020|EPI_ISL_419729||Australia|Victoria||2020-03-20,B.2.1,99/85,0.02,
Australia/VIC128/2020|EPI_ISL_419730||Australia|Victoria||2020-03-20,B.1,74,0,
Australia/VIC129/2020|EPI_ISL_419732||Australia|Victoria||2020-03-21,B,98,0.01,
Australia/VIC13/2020|EPI_ISL_419733||Australia|Victoria||2020-01-31,A,None,0.13,
Australia/VIC130/2020|EPI_ISL_419823||Australia|Victoria||2020-03-21,A.1,100/100,0,
Australia/VIC131/2020|EPI_ISL_419824||Australia|Victoria||2020-03-21,B.1,97/95,0,
Australia/VIC132/2020|EPI_ISL_419825||Australia|Victoria||2020-03-22,B,90/96,0.01,
Australia/VIC134/2020|EPI_ISL_419827||Australia|Victoria||2020-03-22,B.1,98/82,0,
Australia/VIC135/2020|EPI_ISL_419828||Australia|Victoria||2020-03-22,B.1,98/95,0,
Australia/VIC136/2020|EPI_ISL_419829||Australia|Victoria||2020-03-22,B.1,99/100,0,
Australia/VIC137/2020|EPI_ISL_419830||Australia|Victoria||2020-03-22,B.1,99/100,0,
Australia/VIC138/2020|EPI_ISL_419834||Australia|Victoria||2020-02-23,A.5,Apr-76,0,
Australia/VIC139/2020|EPI_ISL_419836||Australia|Victoria||2020-03-15,A.1,100/100,0,
Australia/VIC14/2020|EPI_ISL_419734||Australia|Victoria||2020-02-02,B,90/99,1.6,
Australia/VIC140/2020|EPI_ISL_419837||Australia|Victoria||2020-03-16,A.1,93,0,
Australia/VIC141/2020|EPI_ISL_419838||Australia|Victoria||2020-03-16,B.1,99/100,0,
Australia/VIC142/2020|EPI_ISL_419839||Australia|Victoria||2020-03-16,B.1,99/90,0,
Australia/VIC143/2020|EPI_ISL_419840||Australia|Victoria||2020-03-16,B.1,98/93,0,
Australia/VIC144/2020|EPI_ISL_419841||Australia|Victoria||2020-03-17,B.1,98/91,0,
Australia/VIC145/2020|EPI_ISL_419842||Australia|Victoria||2020-03-17,B.2.5,98/83,0,1
Australia/VIC146/2020|EPI_ISL_419843||Australia|Victoria||2020-03-17,B.2.1,62/77,0,
Australia/VIC147/2020|EPI_ISL_419844||Australia|Victoria||2020-03-17,B.1,97/84,0,
Australia/VIC148/2020|EPI_ISL_419845||Australia|Victoria||2020-03-17,B.1,26/89,0,
Australia/VIC149/2020|EPI_ISL_419846||Australia|Victoria||2020-03-17,B.1,99/100,0,
Australia/VIC15/2020|EPI_ISL_419735||Australia|Victoria||2020-02-24,B,59/92,4.53,
Australia/VIC150/2020|EPI_ISL_419847||Australia|Victoria||2020-03-17,A.3,99/99,0.01,
Australia/VIC151/2020|EPI_ISL_419848||Australia|Victoria||2020-03-17,B.2,85,0,
Australia/VIC152/2020|EPI_ISL_419849||Australia|Victoria||2020-03-17,B.2,98/80,0,
Australia/VIC153/2020|EPI_ISL_419850||Australia|Victoria||2020-03-17,B.1,96,0,
Australia/VIC154/2020|EPI_ISL_419851||Australia|Victoria||2020-03-17,B.1.5,99/100,0,
Australia/VIC155/2020|EPI_ISL_419852||Australia|Victoria||2020-03-17,B.1,93,0,
Australia/VIC156/2020|EPI_ISL_419853||Australia|Victoria||2020-03-17,B.1,98/100,0,
Australia/VIC157/2020|EPI_ISL_419854||Australia|Victoria||2020-03-17,B.1.5,99/100,0,1
Australia/VIC158/2020|EPI_ISL_419855||Australia|Victoria||2020-03-18,B.1,88,0,
Australia/VIC159/2020|EPI_ISL_419856||Australia|Victoria||2020-03-18,A.1,100/100,0,
Australia/VIC160/2020|EPI_ISL_419857||Australia|Victoria||2020-03-18,A.1,100/100,0,
Australia/VIC162/2020|EPI_ISL_419859||Australia|Victoria||2020-03-18,A.1,100/100,0,
Australia/VIC163/2020|EPI_ISL_419860||Australia|Victoria||2020-03-18,B.1,79,0,
Australia/VIC164/2020|EPI_ISL_419861||Australia|Victoria||2020-03-18,B.1.5,99/100,0.88,
Australia/VIC165/2020|EPI_ISL_419862||Australia|Victoria||2020-03-18,A.1,100/100,0,
Australia/VIC166/2020|EPI_ISL_419863||Australia|Victoria||2020-03-18,B.1,76,0,
Australia/VIC167/2020|EPI_ISL_419864||Australia|Victoria||2020-03-18,B.1,99/87,0,
Australia/VIC168/2020|EPI_ISL_419865||Australia|Victoria||2020-03-18,B.1,26/92,0.06,
Australia/VIC169/2020|EPI_ISL_419866||Australia|Victoria||2020-03-18,B.2,99/87,0,
Australia/VIC17/2020|EPI_ISL_419736||Australia|Victoria||2020-03-07,A.3,100/100,0,
Australia/VIC170/2020|EPI_ISL_419867||Australia|Victoria||2020-03-18,B.1,99/100,0,
Australia/VIC171/2020|EPI_ISL_419868||Australia|Victoria||2020-03-18,B.2.1,99/86,0,
Australia/VIC172/2020|EPI_ISL_419869||Australia|Victoria||2020-03-18,B.2.1,88,0,
Australia/VIC173/2020|EPI_ISL_419870||Australia|Victoria||2020-03-18,A.1,100/93,0,
Australia/VIC174/2020|EPI_ISL_419871||Australia|Victoria||2020-03-18,B.1,99/100,0,
Australia/VIC175/2020|EPI_ISL_419872||Australia|Victoria||2020-03-18,B.1,99/86,0.01,
Australia/VIC176/2020|EPI_ISL_419873||Australia|Victoria||2020-03-18,B.2.4,99/92,0,1
Australia/VIC177/2020|EPI_ISL_419874||Australia|Victoria||2020-03-18,A.1,100/100,0.81,
Australia/VIC178/2020|EPI_ISL_419875||Australia|Victoria||2020-03-18,B.1,98/96,0,
Australia/VIC179/2020|EPI_ISL_419876||Australia|Victoria||2020-03-18,B.2,86,0.01,
Australia/VIC18/2020|EPI_ISL_419737||Australia|Victoria||2020-03-07,B.2.1,37/84,0,
Australia/VIC180/2020|EPI_ISL_419877||Australia|Victoria||2020-03-19,B,98,0,1
Australia/VIC181/2020|EPI_ISL_419878||Australia|Victoria||2020-03-19,B.6,100/100,0.12,
Australia/VIC183/2020|EPI_ISL_419879||Australia|Victoria||2020-03-19,B.1,98/92,0.34,
Australia/VIC184/2020|EPI_ISL_419880||Australia|Victoria||2020-03-19,B.1,26/90,0,
Australia/VIC185/2020|EPI_ISL_419881||Australia|Victoria||2020-03-19,B.1,86,0,
Australia/VIC186/2020|EPI_ISL_419882||Australia|Victoria||2020-03-19,B.2.1,99/86,0,
Australia/VIC187/2020|EPI_ISL_419883||Australia|Victoria||2020-03-19,B.2.1,37/74,0,
Australia/VIC188/2020|EPI_ISL_419884||Australia|Victoria||2020-03-19,B.6,100,0,
Australia/VIC189/2020|EPI_ISL_419885||Australia|Victoria||2020-03-19,A.1,100/100,0,
Australia/VIC19/2020|EPI_ISL_419738||Australia|Victoria||2020-03-08,B.2.2,63/83,0.97,
Australia/VIC190/2020|EPI_ISL_419886||Australia|Victoria||2020-03-19,B.1,98/97,0,
Australia/VIC191/2020|EPI_ISL_419887||Australia|Victoria||2020-03-19,B.1,98/98,0,
Australia/VIC192/2020|EPI_ISL_419888||Australia|Victoria||2020-03-19,B.1,99/100,0,
Australia/VIC193/2020|EPI_ISL_419889||Australia|Victoria||2020-03-19,B.3,99/66,0.04,
Australia/VIC194/2020|EPI_ISL_419890||Australia|Victoria||2020-03-19,B.2,99/91,0,
Australia/VIC195/2020|EPI_ISL_419891||Australia|Victoria||2020-03-19,B.1.5,99/100,0,
Australia/VIC196/2020|EPI_ISL_419892||Australia|Victoria||2020-03-19,B.1.13,99/81,0,
Australia/VIC197/2020|EPI_ISL_419893||Australia|Victoria||2020-03-19,B.1,98/98,0.01,
Australia/VIC198/2020|EPI_ISL_419894||Australia|Victoria||2020-03-19,B.1,100,0,
Australia/VIC199/2020|EPI_ISL_419895||Australia|Victoria||2020-03-19,B.1,98,0,
Australia/VIC20/2020|EPI_ISL_419741||Australia|Victoria||2020-03-08,A.1,100/100,0,
Australia/VIC201/2020|EPI_ISL_419896||Australia|Victoria||2020-03-19,B.1,99/85,0,
Australia/VIC202/2020|EPI_ISL_419897||Australia|Victoria||2020-03-19,B.1.13,77,0,1
Australia/VIC203/2020|EPI_ISL_419898||Australia|Victoria||2020-03-19,B.2.1,99/99,0,
Australia/VIC204/2020|EPI_ISL_419899||Australia|Victoria||2020-03-19,A.1,100/100,0,
Australia/VIC205/2020|EPI_ISL_419900||Australia|Victoria||2020-03-19,A.1,100/100,0.01,
Australia/VIC206/2020|EPI_ISL_419901||Australia|Victoria||2020-03-19,B.1,99,0.3,
Australia/VIC207/2020|EPI_ISL_419902||Australia|Victoria||2020-03-19,B.1,99/90,0,
Australia/VIC208/2020|EPI_ISL_419903||Australia|Victoria||2020-03-20,B.2,97/88,0,
Australia/VIC209/2020|EPI_ISL_419904||Australia|Victoria||2020-03-20,A.3,99/100,0.03,
Australia/VIC21/2020|EPI_ISL_419740||Australia|Victoria||2020-03-09,B.2.1,46/87,0,
Australia/VIC210/2020|EPI_ISL_419905||Australia|Victoria||2020-03-20,B.1.5,99/100,0.12,
Australia/VIC211/2020|EPI_ISL_419906||Australia|Victoria||2020-03-20,B.1,99/89,0,
Australia/VIC212/2020|EPI_ISL_419907||Australia|Victoria||2020-03-20,B.1,98/96,0.7,
Australia/VIC213/2020|EPI_ISL_419908||Australia|Victoria||2020-03-20,A.1,100/100,0,
Australia/VIC214/2020|EPI_ISL_419909||Australia|Victoria||2020-03-20,B.1,90,0,
Australia/VIC215/2020|EPI_ISL_419910||Australia|Victoria||2020-03-20,A.3,99/100,0,
Australia/VIC216/2020|EPI_ISL_419911||Australia|Victoria||2020-03-20,B.1,99/90,0,
Australia/VIC217/2020|EPI_ISL_419912||Australia|Victoria||2020-03-20,B.1,22/98,0,
Australia/VIC218/2020|EPI_ISL_419913||Australia|Victoria||2020-03-20,B.2.1,69,0,
Australia/VIC219/2020|EPI_ISL_419914||Australia|Victoria||2020-03-20,B.1,98/100,0,
Australia/VIC22/2020|EPI_ISL_419742||Australia|Victoria||2020-03-09,B.1,94,0,
Australia/VIC220/2020|EPI_ISL_419915||Australia|Victoria||2020-03-20,B.1,92,0,
Australia/VIC221/2020|EPI_ISL_419916||Australia|Victoria||2020-03-20,B.1,74,0.03,
Australia/VIC222/2020|EPI_ISL_419917||Australia|Victoria||2020-03-20,A.1,100/100,0,
Australia/VIC223/2020|EPI_ISL_419918||Australia|Victoria||2020-03-20,B.2.4,84,0,1
Australia/VIC224/2020|EPI_ISL_419919||Australia|Victoria||2020-03-20,B.1,98,0,
Australia/VIC225/2020|EPI_ISL_419920||Australia|Victoria||2020-03-20,A.1,100/95,0,
Australia/VIC226/2020|EPI_ISL_419921||Australia|Victoria||2020-03-20,B.1,98/98,0,
Australia/VIC227/2020|EPI_ISL_419922||Australia|Victoria||2020-03-20,B.1,92,0.02,
Australia/VIC228/2020|EPI_ISL_419923||Australia|Victoria||2020-03-20,B.1,98/98,0,
Australia/VIC229/2020|EPI_ISL_419924||Australia|Victoria||2020-03-21,A.1,100/100,0,
Australia/VIC23/2020|EPI_ISL_419743||Australia|Victoria||2020-03-09,B.2.1,99/84,0,1
Australia/VIC230/2020|EPI_ISL_419925||Australia|Victoria||2020-03-21,B.1,89,0.02,
Australia/VIC231/2020|EPI_ISL_419926||Australia|Victoria||2020-03-21,B.6,100/100,0,1
Australia/VIC232/2020|EPI_ISL_419927||Australia|Victoria||2020-03-21,A.2,100/97,0,1
Australia/VIC233/2020|EPI_ISL_419928||Australia|Victoria||2020-03-21,B.2,98/78,0,
Australia/VIC234/2020|EPI_ISL_419929||Australia|Victoria||2020-03-21,B.1,74,0,
Australia/VIC236/2020|EPI_ISL_419931||Australia|Victoria||2020-03-21,B.1,97/82,0,
Australia/VIC237/2020|EPI_ISL_419932||Australia|Victoria||2020-03-21,B.6,52/100,0,1
Australia/VIC238/2020|EPI_ISL_419933||Australia|Victoria||2020-03-21,B.1,98/94,0,
Australia/VIC239/2020|EPI_ISL_419934||Australia|Victoria||2020-03-21,B.1,98/97,0,
Australia/VIC24/2020|EPI_ISL_419739||Australia|Victoria||2020-03-09,A.1,100/100,0.77,
Australia/VIC240/2020|EPI_ISL_419935||Australia|Victoria||2020-03-21,B.1,95,0.01,
Australia/VIC241/2020|EPI_ISL_419936||Australia|Victoria||2020-03-21,A.1,100/100,0,
Australia/VIC242/2020|EPI_ISL_419937||Australia|Victoria||2020-03-21,B,97,0.01,
Australia/VIC243/2020|EPI_ISL_419938||Australia|Victoria||2020-03-21,B.1,99/87,0,
Australia/VIC244/2020|EPI_ISL_419939||Australia|Victoria||2020-03-21,A.2,100/97,0,
Australia/VIC245/2020|EPI_ISL_419940||Australia|Victoria||2020-03-21,B.1,85,0,
Australia/VIC246/2020|EPI_ISL_419941||Australia|Victoria||2020-03-21,B.1,97/84,0,
Australia/VIC247/2020|EPI_ISL_419942||Australia|Victoria||2020-03-21,B.1,99/93,0,1
Australia/VIC248/2020|EPI_ISL_419943||Australia|Victoria||2020-03-21,B.1,26/85,0,
Australia/VIC249/2020|EPI_ISL_419944||Australia|Victoria||2020-03-21,B.1,98/95,0,
Australia/VIC25/2020|EPI_ISL_419744||Australia|Victoria||2020-03-10,B.2.2,63/85,0.01,
Australia/VIC250/2020|EPI_ISL_419945||Australia|Victoria||2020-03-21,B.1,98/100,0,
Australia/VIC251/2020|EPI_ISL_419946||Australia|Victoria||2020-03-21,B.6,100/99,0,
Australia/VIC252/2020|EPI_ISL_419947||Australia|Victoria||2020-03-21,B.1,98/98,0,
Australia/VIC253/2020|EPI_ISL_419948||Australia|Victoria||2020-03-21,B.1,26/82,0,
Australia/VIC254/2020|EPI_ISL_419949||Australia|Victoria||2020-03-21,B.1.5,99/100,0,
Australia/VIC256/2020|EPI_ISL_420036||Australia|Victoria||2020-03-21,A.2,100/99,0,
Australia/VIC257/2020|EPI_ISL_419950||Australia|Victoria||2020-03-21,B.1.5,99/100,0,
Australia/VIC258/2020|EPI_ISL_419951||Australia|Victoria||2020-03-21,B.1,99/89,0,
Australia/VIC259/2020|EPI_ISL_419952||Australia|Victoria||2020-03-21,B.1,99/90,0,
Australia/VIC26/2020|EPI_ISL_419745||Australia|Victoria||2020-03-10,B.3,99/65,0,1
Australia/VIC260/2020|EPI_ISL_419953||Australia|Victoria||2020-03-21,B.1,99/84,0,
Australia/VIC261/2020|EPI_ISL_419954||Australia|Victoria||2020-03-21,B.1,97/90,0,
Australia/VIC262/2020|EPI_ISL_419955||Australia|Victoria||2020-03-21,B.4,97/94,0.01,
Australia/VIC263/2020|EPI_ISL_419956||Australia|Victoria||2020-03-21,B.1,90,0,
Australia/VIC264/2020|EPI_ISL_419957||Australia|Victoria||2020-03-22,B.1,99/100,0,
Australia/VIC265/2020|EPI_ISL_419958||Australia|Victoria||2020-03-22,A.1,100/100,0,
Australia/VIC266/2020|EPI_ISL_419959||Australia|Victoria||2020-03-22,B.1,99/100,0,
Australia/VIC267/2020|EPI_ISL_419960||Australia|Victoria||2020-03-22,B.1,99/88,0,
Australia/VIC268/2020|EPI_ISL_419961||Australia|Victoria||2020-03-22,B.2,80,0,
Australia/VIC269/2020|EPI_ISL_419962||Australia|Victoria||2020-03-22,B.1,75,0,
Australia/VIC27/2020|EPI_ISL_419746||Australia|Victoria||2020-03-10,A.3,100,0,
Australia/VIC270/2020|EPI_ISL_419963||Australia|Victoria||2020-03-22,B.1,100,0,
Australia/VIC271/2020|EPI_ISL_419964||Australia|Victoria||2020-03-22,B.1,99/100,0,
Australia/VIC272/2020|EPI_ISL_419965||Australia|Victoria||2020-03-22,B.4,93,0,
Australia/VIC273/2020|EPI_ISL_419966||Australia|Victoria||2020-03-22,B.1,22/100,0,
Australia/VIC274/2020|EPI_ISL_419967||Australia|Victoria||2020-03-22,B.1,99/99,0,
Australia/VIC275/2020|EPI_ISL_419968||Australia|Victoria||2020-03-22,B.1.11,27/92,0,1
