header	name	GISAID	country	date	lineage	representative
Australia/QLD02/2020|EPI_ISL_407896|2020-01-30	Australia/QLD02/2020	EPI_ISL_407896	Australia	2020-01-30	A	
Belgium/GHB-03021/2020|EPI_ISL_407976|2020-02-03	Belgium/GHB-03021/2020	EPI_ISL_407976	Belgium	2020-02-03	A	
Singapore/2/2020|EPI_ISL_407987|2020-01-25	Singapore/2/2020	EPI_ISL_407987	Singapore	2020-01-25	B	
Singapore/3/2020|EPI_ISL_407988|2020-02-01	Singapore/3/2020	EPI_ISL_407988	Singapore	2020-02-01	B	
USA/CA3/2020|EPI_ISL_408008|2020-01-29	USA/CA3/2020	EPI_ISL_408008	USA	2020-01-29	B.9	1
USA/CA4/2020|EPI_ISL_408009|2020-01-29	USA/CA4/2020	EPI_ISL_408009	USA	2020-01-29	B.9	
USA/CA5/2020|EPI_ISL_408010|2020-01-29	USA/CA5/2020	EPI_ISL_408010	USA	2020-01-29	B	
France/IDF0515/2020|EPI_ISL_408430|2020-01-29	France/IDF0515/2020	EPI_ISL_408430	France	2020-01-29	B	
France/IDF0626/2020|EPI_ISL_408431|2020-01-29	France/IDF0626/2020	EPI_ISL_408431	France	2020-01-29	B	
Chongqing/YC01/2020|EPI_ISL_408478|2020-01-21	Chongqing/YC01/2020	EPI_ISL_408478	China	2020-01-21	A	
Chongqing/ZX01/2020|EPI_ISL_408479|2020-01-23	Chongqing/ZX01/2020	EPI_ISL_408479	China	2020-01-23	B	
Yunnan/IVDC-YN-003/2020|EPI_ISL_408480|2020-01-17	Yunnan/IVDC-YN-003/2020	EPI_ISL_408480	China	2020-01-17	A	1
Chongqing/IVDC-CQ-001/2020|EPI_ISL_408481|2020-01-18	Chongqing/IVDC-CQ-001/2020	EPI_ISL_408481	China	2020-01-18	B	
Shandong/IVDC-SD-001/2020|EPI_ISL_408482|2020-01-19	Shandong/IVDC-SD-001/2020	EPI_ISL_408482	China	2020-01-19	B.4	
Sichuan/IVDC-SC-001/2020|EPI_ISL_408484|2020-01-15	Sichuan/IVDC-SC-001/2020	EPI_ISL_408484	China	2020-01-15	A.3	
Beijing/IVDC-BJ-005/2020|EPI_ISL_408485|2020-01-18	Beijing/IVDC-BJ-005/2020	EPI_ISL_408485	Beijing	2020-01-18	A.3	
Jiangxi/IVDC-JX-002/2020|EPI_ISL_408486|2020-01-11	Jiangxi/IVDC-JX-002/2020	EPI_ISL_408486	China	2020-01-11	B	
Jiangsu/IVDC-JS-001/2020|EPI_ISL_408488|2020-01-19	Jiangsu/IVDC-JS-001/2020	EPI_ISL_408488	China	2020-01-19	B	
Taiwan/NTU01/2020|EPI_ISL_408489|2020-01-31	Taiwan/NTU01/2020	EPI_ISL_408489	Taiwan	2020-01-31	A	
Japan/TY-WK-012/2020|EPI_ISL_408665|2020-01-29	Japan/TY-WK-012/2020	EPI_ISL_408665	Japan	2020-01-29	A	
Japan/TY-WK-501/2020|EPI_ISL_408666|2020-01-31	Japan/TY-WK-501/2020	EPI_ISL_408666	Japan	2020-01-31	A	
Japan/TY-WK-521/2020|EPI_ISL_408667|2020-01-31	Japan/TY-WK-521/2020	EPI_ISL_408667	Japan	2020-01-31	A	
Vietnam/VR03-38142/2020|EPI_ISL_408668|2020-01-24	Vietnam/VR03-38142/2020	EPI_ISL_408668	Vietnam	2020-01-24	A.3	
Japan/KY-V-029/2020|EPI_ISL_408669|2020-01-29	Japan/KY-V-029/2020	EPI_ISL_408669	Japan	2020-01-29	B	
USA/WI1/2020|EPI_ISL_408670|2020-01-31	USA/WI1/2020	EPI_ISL_408670	USA	2020-01-31	B	
Sydney/2/2020|EPI_ISL_408976|2020-01-22	Sydney/2/2020	EPI_ISL_408976	Australia	2020-01-22	B	
Sydney/3/2020|EPI_ISL_408977|2020-01-25	Sydney/3/2020	EPI_ISL_408977	Australia	2020-01-25	B	
Wuhan/WH05/2020|EPI_ISL_408978|2020-02-07	Wuhan/WH05/2020	EPI_ISL_408978	China	2020-02-07	B	1
USA/MA1/2020|EPI_ISL_409067|2020-01-29	USA/MA1/2020	EPI_ISL_409067	USA	2020-01-29	B	
USA/CA6/2020|EPI_ISL_410044|2020-01-27	USA/CA6/2020	EPI_ISL_410044	USA	2020-01-27	B	
USA/IL2/2020|EPI_ISL_410045|2020-01-28	USA/IL2/2020	EPI_ISL_410045	USA	2020-01-28	A.3	1
Taiwan/NTU02/2020|EPI_ISL_410218|2020-02-05	Taiwan/NTU02/2020	EPI_ISL_410218	Taiwan	2020-02-05	B	
Nepal/61/2020|EPI_ISL_410301|2020-01-13	Nepal/61/2020	EPI_ISL_410301	Nepal	2020-01-13	B	
France/RA739/2020|EPI_ISL_410486|2020-02-08	France/RA739/2020	EPI_ISL_410486	France	2020-02-08	B	
Japan/NA-20-05-1/2020|EPI_ISL_410531|2020-01-25	Japan/NA-20-05-1/2020	EPI_ISL_410531	Japan	2020-01-25	B	
Japan/OS-20-07-1/2020|EPI_ISL_410532|2020-01-23	Japan/OS-20-07-1/2020	EPI_ISL_410532	Japan	2020-01-23	B	
Singapore/4/2020|EPI_ISL_410535|2020-02-03	Singapore/4/2020	EPI_ISL_410535	Singapore	2020-02-03	A	
Singapore/5/2020|EPI_ISL_410536|2020-02-06	Singapore/5/2020	EPI_ISL_410536	Singapore	2020-02-06	B	
Singapore/6/2020|EPI_ISL_410537|2020-02-09	Singapore/6/2020	EPI_ISL_410537	Singapore	2020-02-09	B	
Italy/INMI1-isl/2020|EPI_ISL_410545|2020-01-29	Italy/INMI1-isl/2020	EPI_ISL_410545	Italy	2020-01-29	B	
Italy/INMI1-cs/2020|EPI_ISL_410546|2020-01-31	Italy/INMI1-cs/2020	EPI_ISL_410546	Italy	2020-01-31	B.2	1
Singapore/7/2020|EPI_ISL_410713|2020-01-27	Singapore/7/2020	EPI_ISL_410713	Singapore	2020-01-27	B	
Singapore/8/2020|EPI_ISL_410714|2020-02-03	Singapore/8/2020	EPI_ISL_410714	Singapore	2020-02-03	B	
Singapore/9/2020|EPI_ISL_410715|2020-02-04	Singapore/9/2020	EPI_ISL_410715	Singapore	2020-02-04	B	
Singapore/10/2020|EPI_ISL_410716|2020-02-04	Singapore/10/2020	EPI_ISL_410716	Singapore	2020-02-04	B	
Australia/QLD03/2020|EPI_ISL_410717|2020-02-05	Australia/QLD03/2020	EPI_ISL_410717	Australia	2020-02-05	A	
Australia/QLD04/2020|EPI_ISL_410718|2020-02-05	Australia/QLD04/2020	EPI_ISL_410718	Australia	2020-02-05	A	
Singapore/11/2020|EPI_ISL_410719|2020-02-02	Singapore/11/2020	EPI_ISL_410719	Singapore	2020-02-02	B	
France/IDF0372-isl/2020|EPI_ISL_410720|2020-01-23	France/IDF0372-isl/2020	EPI_ISL_410720	France	2020-01-23	B	
France/IDF0515-isl/2020|EPI_ISL_410984|2020-01-29	France/IDF0515-isl/2020	EPI_ISL_410984	France	2020-01-29	B	
Fujian/8/2020|EPI_ISL_411060|2020-01-21	Fujian/8/2020	EPI_ISL_411060	China	2020-01-21	A	
Fujian/13/2020|EPI_ISL_411066|2020-01-22	Fujian/13/2020	EPI_ISL_411066	China	2020-01-22	B	
France/IDF0571/2020|EPI_ISL_411218|2020-02-02	France/IDF0571/2020	EPI_ISL_411218	France	2020-02-02	B	
France/IDF0386-islP1/2020|EPI_ISL_411219|2020-01-28	France/IDF0386-islP1/2020	EPI_ISL_411219	France	2020-01-28	B	
France/IDF0386-islP3/2020|EPI_ISL_411220|2020-01-28	France/IDF0386-islP3/2020	EPI_ISL_411220	France	2020-01-28	B	
Cambodia/0012/2020|EPI_ISL_411902|2020-01-27	Cambodia/0012/2020	EPI_ISL_411902	Cambodia	2020-01-27	B	
Taiwan/CGMH-CGU-01/2020|EPI_ISL_411915|2020-01-25	Taiwan/CGMH-CGU-01/2020	EPI_ISL_411915	Taiwan	2020-01-25	B	
Taiwan/3/2020|EPI_ISL_411926|2020-01-24	Taiwan/3/2020	EPI_ISL_411926	Taiwan	2020-01-24	A	
Taiwan/4/2020|EPI_ISL_411927|2020-01-28	Taiwan/4/2020	EPI_ISL_411927	Taiwan	2020-01-28	B	
Jiangsu/JS01/2020|EPI_ISL_411950|2020-01-23	Jiangsu/JS01/2020	EPI_ISL_411950	China	2020-01-23	B	
Sweden/01/2020|EPI_ISL_411951|2020-02-07	Sweden/01/2020	EPI_ISL_411951	Sweden	2020-02-07	B	
Jiangsu/JS02/2020|EPI_ISL_411952|2020-01-24	Jiangsu/JS02/2020	EPI_ISL_411952	China	2020-01-24	B	
Jiangsu/JS03/2020|EPI_ISL_411953|2020-01-24	Jiangsu/JS03/2020	EPI_ISL_411953	China	2020-01-24	B	
USA/CA7/2020|EPI_ISL_411954|2020-02-06	USA/CA7/2020	EPI_ISL_411954	USA	2020-02-06	A	
USA/CA8/2020|EPI_ISL_411955|2020-02-10	USA/CA8/2020	EPI_ISL_411955	USA	2020-02-10	B	
USA/TX1/2020|EPI_ISL_411956|2020-02-11	USA/TX1/2020	EPI_ISL_411956	USA	2020-02-11	A	1
China/WH-09/2020|EPI_ISL_411957|2020-01-08	China/WH-09/2020	EPI_ISL_411957	China	2020-01-08	B	
Hefei/2/2020|EPI_ISL_412026|2020-02-23	Hefei/2/2020	EPI_ISL_412026	China	2020-02-23	B	
Hong_Kong/VM20001061/2020|EPI_ISL_412028|2020-01-22	Hong_Kong/VM20001061/2020	EPI_ISL_412028	Hong_Kong	2020-01-22	A.3	
Hong_Kong/VB20024950/2020|EPI_ISL_412029|2020-01-30	Hong_Kong/VB20024950/2020	EPI_ISL_412029	Hong_Kong	2020-01-30	B.7	
Hong_Kong/VB20026565/2020|EPI_ISL_412030|2020-02-01	Hong_Kong/VB20026565/2020	EPI_ISL_412030	Hong_Kong	2020-02-01	B	
England/09c/2020|EPI_ISL_412116|2020-02-09	England/09c/2020	EPI_ISL_412116	UK	2020-02-09	B.2.1	1
Jingzhou/HBCDC-HB-01/2020|EPI_ISL_412459|2020-01-08	Jingzhou/HBCDC-HB-01/2020	EPI_ISL_412459	China	2020-01-08	B	
USA/CA9/2020|EPI_ISL_412862|2020-02-23	USA/CA9/2020	EPI_ISL_412862	USA	2020-02-23	B	
South_Korea/KCDC05/2020|EPI_ISL_412869|2020-01-30	South_Korea/KCDC05/2020	EPI_ISL_412869	South_Korea	2020-01-30	A	
South_Korea/KCDC06/2020|EPI_ISL_412870|2020-01-30	South_Korea/KCDC06/2020	EPI_ISL_412870	South_Korea	2020-01-30	A	
South_Korea/KCDC07/2020|EPI_ISL_412871|2020-01-31	South_Korea/KCDC07/2020	EPI_ISL_412871	South_Korea	2020-01-31	A	
South_Korea/KCDC12/2020|EPI_ISL_412872|2020-02-01	South_Korea/KCDC12/2020	EPI_ISL_412872	South_Korea	2020-02-01	B	
South_Korea/KCDC24/2020|EPI_ISL_412873|2020-02-06	South_Korea/KCDC24/2020	EPI_ISL_412873	South_Korea	2020-02-06	A	
Wuhan/HBCDC-HB-02/2019|EPI_ISL_412898|2019-12-30	Wuhan/HBCDC-HB-02/2019	EPI_ISL_412898	China	2019-12-30	B	1
Wuhan/HBCDC-HB-03/2019|EPI_ISL_412899|2019-12-30	Wuhan/HBCDC-HB-03/2019	EPI_ISL_412899	China	2019-12-30	B	
Germany/Baden-Wuerttemberg-1/2020|EPI_ISL_412912|2020-02-25	Germany/Baden-Wuerttemberg-1/2020	EPI_ISL_412912	Germany	2020-02-25	B.1	
Brazil/SPBR-01/2020|EPI_ISL_412964|2020-02-25	Brazil/SPBR-01/2020	EPI_ISL_412964	Brazil	2020-02-25	B.1	
Canada/BC_37_0-2/2020|EPI_ISL_412965|2020-02-16	Canada/BC_37_0-2/2020	EPI_ISL_412965	Canada	2020-02-16	B.4	1
China/IQTC01/2020|EPI_ISL_412966|2020-02-05	China/IQTC01/2020	EPI_ISL_412966	China	2020-02-05	B	
China/IQTC02/2020|EPI_ISL_412967|2020-01-29	China/IQTC02/2020	EPI_ISL_412967	China	2020-01-29	B	
Japan/Hu_DP_Kng_19-020/2020|EPI_ISL_412968|2020-02-10	Japan/Hu_DP_Kng_19-020/2020	EPI_ISL_412968	Japan	2020-02-10	B	
Japan/Hu_DP_Kng_19-027/2020|EPI_ISL_412969|2020-02-10	Japan/Hu_DP_Kng_19-027/2020	EPI_ISL_412969	Japan	2020-02-10	B.5	
USA/WA2/2020|EPI_ISL_412970|2020-02-24	USA/WA2/2020	EPI_ISL_412970	USA	2020-02-24	A.1	
Finland/FIN-25/2020|EPI_ISL_412971|2020-02-25	Finland/FIN-25/2020	EPI_ISL_412971	Finland	2020-02-25	B.1	
Mexico/CDMX/InDRE_01/2020|EPI_ISL_412972|2020-02-27	Mexico/CDMX/InDRE_01/2020	EPI_ISL_412972	Mexico	2020-02-27	B.1	
Italy/CDG1/2020|EPI_ISL_412973|2020-02-20	Italy/CDG1/2020	EPI_ISL_412973	Italy	2020-02-20	B.1	
Italy/SPL1/2020|EPI_ISL_412974|2020-01-29	Italy/SPL1/2020	EPI_ISL_412974	Italy	2020-01-29	B.2	
Australia/NSW05/2020|EPI_ISL_412975|2020-02-28	Australia/NSW05/2020	EPI_ISL_412975	Australia	2020-02-28	B.4	
Wuhan/HBCDC-HB-02/2020|EPI_ISL_412978|2020-01-17	Wuhan/HBCDC-HB-02/2020	EPI_ISL_412978	China	2020-01-17	A	1
Wuhan/HBCDC-HB-03/2020|EPI_ISL_412979|2020-01-18	Wuhan/HBCDC-HB-03/2020	EPI_ISL_412979	China	2020-01-18	A	
Wuhan/HBCDC-HB-04/2020|EPI_ISL_412980|2020-01-18	Wuhan/HBCDC-HB-04/2020	EPI_ISL_412980	China	2020-01-18	A	
Wuhan/HBCDC-HB-05/2020|EPI_ISL_412981|2020-01-18	Wuhan/HBCDC-HB-05/2020	EPI_ISL_412981	China	2020-01-18	B.4	
Wuhan/HBCDC-HB-06/2020|EPI_ISL_412982|2020-02-07	Wuhan/HBCDC-HB-06/2020	EPI_ISL_412982	China	2020-02-07	A	
Tianmen/HBCDC-HB-07/2020|EPI_ISL_412983|2020-02-08	Tianmen/HBCDC-HB-07/2020	EPI_ISL_412983	China	2020-02-08	A	
Canada/ON-PHL2445/2020|EPI_ISL_413014|2020-01-25	Canada/ON-PHL2445/2020	EPI_ISL_413014	Canada	2020-01-25	B.9	
Canada/ON-VIDO-01/2020|EPI_ISL_413015|2020-01-23	Canada/ON-VIDO-01/2020	EPI_ISL_413015	Canada	2020-01-23	B.9	1
Brazil/SPBR-02/2020|EPI_ISL_413016|2020-02-28	Brazil/SPBR-02/2020	EPI_ISL_413016	Brazil	2020-02-28	B.2	
South_Korea/KUMC01/2020|EPI_ISL_413017|2020-02-06	South_Korea/KUMC01/2020	EPI_ISL_413017	South_Korea	2020-02-06	B	
South_Korea/KUMC02/2020|EPI_ISL_413018|2020-02-06	South_Korea/KUMC02/2020	EPI_ISL_413018	South_Korea	2020-02-06	B	
Switzerland/1000477102/2020|EPI_ISL_413019|2020-02-26	Switzerland/1000477102/2020	EPI_ISL_413019	Switzerland	2020-02-26	B.2	
Switzerland/1000477377/2020|EPI_ISL_413020|2020-02-27	Switzerland/1000477377/2020	EPI_ISL_413020	Switzerland	2020-02-27	B.1	
Switzerland/1000477757/2020|EPI_ISL_413021|2020-02-29	Switzerland/1000477757/2020	EPI_ISL_413021	Switzerland	2020-02-29	B.1	
Switzerland/1000477796/2020|EPI_ISL_413022|2020-02-29	Switzerland/1000477796/2020	EPI_ISL_413022	Switzerland	2020-02-29	B.1	
Switzerland/1000477797/2020|EPI_ISL_413023|2020-02-29	Switzerland/1000477797/2020	EPI_ISL_413023	Switzerland	2020-02-29	B.1	
Switzerland/1000477806/2020|EPI_ISL_413024|2020-02-29	Switzerland/1000477806/2020	EPI_ISL_413024	Switzerland	2020-02-29	B.1	
USA/WA3-UW1/2020|EPI_ISL_413025|2020-02-27	USA/WA3-UW1/2020	EPI_ISL_413025	USA	2020-02-27	B.2	
Australia/NSW06/2020|EPI_ISL_413213|2020-02-29	Australia/NSW06/2020	EPI_ISL_413213	Australia	2020-02-29	B.4.1	
Australia/NSW07/2020|EPI_ISL_413214|2020-02-29	Australia/NSW07/2020	EPI_ISL_413214	Australia	2020-02-29	B.4.2	1
Scotland/CVR01/2020|EPI_ISL_413221|2020-02-28	Scotland/CVR01/2020	EPI_ISL_413221	UK	2020-02-28	B.1	
USA/WA4-UW2/2020|EPI_ISL_413455|2020-02-28	USA/WA4-UW2/2020	EPI_ISL_413455	USA	2020-02-28	A.1	
USA/WA-S2/2020|EPI_ISL_413456|2020-02-20	USA/WA-S2/2020	EPI_ISL_413456	USA	2020-02-20	A.1	
USA/WA6-UW3/2020|EPI_ISL_413457|2020-02-29	USA/WA6-UW3/2020	EPI_ISL_413457	USA	2020-02-29	A.1	
USA/WA7-UW4/2020|EPI_ISL_413458|2020-03-01	USA/WA7-UW4/2020	EPI_ISL_413458	USA	2020-03-01	A.1	
Japan/TK/20-31-3/2020|EPI_ISL_413459|2020-02-20	Japan/TK/20-31-3/2020	EPI_ISL_413459	Japan	2020-02-20	B.5	
Anhui/SZ005/2020|EPI_ISL_413485|2020-01-24	Anhui/SZ005/2020	EPI_ISL_413485	China	2020-01-24	A	
USA/WA8-UW5/2020|EPI_ISL_413486|2020-03-01	USA/WA8-UW5/2020	EPI_ISL_413486	USA	2020-03-01	A.1	
USA/WA9-UW6/2020|EPI_ISL_413487|2020-03-01	USA/WA9-UW6/2020	EPI_ISL_413487	USA	2020-03-01	A.1	
Germany/NRW-01/2020|EPI_ISL_413488|2020-02-28	Germany/NRW-01/2020	EPI_ISL_413488	Germany	2020-02-28	B.3	1
Italy/UniSR1/2020|EPI_ISL_413489|2020-03-03	Italy/UniSR1/2020	EPI_ISL_413489	Italy	2020-03-03	B.1	
New_Zealand/01/2020|EPI_ISL_413490|2020-02-27	New_Zealand/01/2020	EPI_ISL_413490	New_Zealand	2020-02-27	B.4	
South_Korea/KUMC03/2020|EPI_ISL_413513|2020-02-27	South_Korea/KUMC03/2020	EPI_ISL_413513	South_Korea	2020-02-27	A	1
South_Korea/KUMC04/2020|EPI_ISL_413514|2020-02-27	South_Korea/KUMC04/2020	EPI_ISL_413514	South_Korea	2020-02-27	A	
South_Korea/KUMC05/2020|EPI_ISL_413515|2020-02-27	South_Korea/KUMC05/2020	EPI_ISL_413515	South_Korea	2020-02-27	A	
South_Korea/KUMC06/2020|EPI_ISL_413516|2020-02-27	South_Korea/KUMC06/2020	EPI_ISL_413516	South_Korea	2020-02-27	A	
Beijing/105/2020|EPI_ISL_413518|2020-01-26	Beijing/105/2020	EPI_ISL_413518	Beijing	2020-01-26	A	
Beijing/231/2020|EPI_ISL_413519|2020-01-28	Beijing/231/2020	EPI_ISL_413519	Beijing	2020-01-28	A	
Beijing/233/2020|EPI_ISL_413520|2020-01-28	Beijing/233/2020	EPI_ISL_413520	Beijing	2020-01-28	A	
Beijing/235/2020|EPI_ISL_413521|2020-01-28	Beijing/235/2020	EPI_ISL_413521	Beijing	2020-01-28	A	
India/1-27/2020|EPI_ISL_413522|2020-01-27	India/1-27/2020	EPI_ISL_413522	India	2020-01-27	B	
India/1-31/2020|EPI_ISL_413523|2020-01-31	India/1-31/2020	EPI_ISL_413523	India	2020-01-31	A	
Nigeria/Lagos01/2020|EPI_ISL_413550|2020-02-27	Nigeria/Lagos01/2020	EPI_ISL_413550	Nigeria	2020-02-27	B.1	
